"rank","recipe_id","instruction_txt","ins_order"
11,138085,"Cook 30 minutes or until carrots are soft.",5
11,138085,"Cool slightly.",6
11,138085,"Puree entire mixture.",7
11,138085,"Return to pot & simmer till warm.",8
11,138085,"Serve with fresh ground black pepper & oyster crackers.",9
11,138085,"If desired add a little milk,sour cream or plain yogurt.",10
12,35857,"Heat butter until hot; add sweet potatoes.",0
12,35857,"Sprinkle with salt.",1
12,35857,"Saute for 2 minutes.",2
12,35857,"Cover and cook on low for 15 minutes, stirring occasionally.",3
12,35857,"Uncover and raise heat to med.",4
12,35857,"Sprinkle with sugars; cook, turning occasionally until potatoes are browned and crusty, about 10 minutes.",5
13,118928,"In a large saucepan, heat 4 cups of the chicken broth to boiling.",0
13,118928,"In a small saucepan over low heat, melt butter, then stir in flour well to blend but do not brown.",1
13,118928,"Add this mixture to the boiling broth and cook over medium heat until it thickens.",2
13,118928,"In another pan, bring the remaining broth to a boil, add noodles and cook just until tender but not soft (package directions should give you an idea how long).",3
13,118928,"Do not drain noodles; add chicken, noodles and liquid to the thickened broth, and season to taste with salt and pepper if desired.",4
13,118928,"Serve immediately with crackers, if desired.",5
14,116968,"Cut carrots cross-wise to make 1/4 inch slices.",0
14,116968,"Heat butter in a cooking pan.",1
14,116968,"Add carrots, sugar, and water or chicken stock.",2
14,116968,"Bring to a boil and cover.",3
14,116968,"Simmer until tender.",4
14,116968,"Remove carrots and reduce liquid until syrup-like consistency is reached.",5
14,116968,"Return carrots and coat in syrup.",6
14,116968,"Season with salt if desired.",7
14,116968,"Garnish with lemon slices and parsley.",8
15,59433,"Boil the whole chicken.",0
15,59433,"When cool, shred the meat.",1
15,59433,"Add remaining ingredients to your taste.",2
15,59433,"Serve over lettuce, in a pineapple half or melon half for a "cool" summer meal.",3
15,59433,"For those who like the flavor of currry, add this spice to give the salad a unique flavor.",4
16,37756,"Trim and wash sprouts.",0
16,37756,"Place in a medium-size saucepan and pour enough beer over them to cover.",1
16,37756,"Bring to a boil, reduce heat and simmer for 20 minutes or until tender.",2
16,37756,"Add more beer if needed, as liquid evaporates.",3
16,37756,"Drain; add salt and butter.",4
16,37756,"Serve hot.",5
17,67117,"Combine raw corn, sugar, salt, and water in large pot.",0
17,67117,"Slowly bring to a boil, then reduce heat and simmer for 5 minutes.",1
17,67117,"Remove from heat and add the butter.",2
17,67117,"Stir to combine.",3
17,67117,"Let cool and put desired amount in vacuum bags, dividing the liquid among each package.",4
17,67117,"Seal and freeze.",5
18,17485,"Preheat grill to high.",0
18,17485,"Tear the bread in half lengthways, then tear or cut it across to give four large pieces.",1
18,17485,"Spread the pieces with the butter.",2
18,17485,"Arrange the shavings of the Parmesan cheese on to the toasts, then cover with the grated Parmesan.",3
18,17485,"Transfer to a large baking sheet and toast under the grill for a few minutes until the topping is well browned.",4
18,17485,"Lovely served with soups.",5
19,175756,"Cream butter & sugar.",0
19,175756,"Add eggs.",1
19,175756,"Stir in Lemon juice, banana, & yogurt.",2
19,175756,"Add sifted flour, baking powder & salt.",3
19,175756,"Fold in nuts and lemon zest.",4
19,175756,"Bake in loaf tin at 350 for 50-60 minute.",5
20,4611,"Boil the rice and keep hot and dry.",0
20,4611,"Cut off the top crust of the bread.",1
20,4611,"Hollow out the inside.",2
20,4611,"Fry the oysters.",3
20,4611,"Butter the inside of the loaf well and place in the oven to brown.",4
20,4611,"Fill with the hot fried oysters.",5
20,4611,"The top of the loaf of bread may be buttered, toasted and placed on the oysters to retain the heat, although the oysters stay more crispy if served uncovered.",6
20,4611,"Serve on a platter with hot boiled rice which is seasoned, dotted with butter, and garnished with minced parsley and paprika.",7
20,4611,"Note: A finely minced clove of garlic may be used to flavor the butter.",8
